dataset,model,chunk_size,retriever,em,f1,distraction_ratio,n_samples
nq,SmolLM2-360M,none,no_rag,0.01,0.0667,0.0,300
nq,SmolLM2-360M,128,bm25,0.01,0.0917,0.0,300
nq,SmolLM2-360M,128,faiss,0.0233,0.1022,0.0,300
nq,SmolLM2-360M,256,bm25,0.0067,0.0924,0.3333,300
nq,SmolLM2-360M,256,faiss,0.0167,0.1102,0.0,300
nq,SmolLM2-360M,512,bm25,0.01,0.0998,0.0,300
nq,SmolLM2-360M,512,faiss,0.0033,0.0936,0.6667,300
nq,Qwen3-0.6B,none,no_rag,0.0267,0.0735,0.0,300
nq,Qwen3-0.6B,128,bm25,0.0567,0.142,0.0,300
nq,Qwen3-0.6B,128,faiss,0.1167,0.1972,0.0,300
nq,Qwen3-0.6B,256,bm25,0.0967,0.1686,0.0,300
nq,Qwen3-0.6B,256,faiss,0.1133,0.1889,0.0,300
nq,Qwen3-0.6B,512,bm25,0.1033,0.1803,0.0,300
nq,Qwen3-0.6B,512,faiss,0.1067,0.1855,0.0,300
nq,Gemma-2-2B,none,no_rag,0.1067,0.24,0.0,300
nq,Gemma-2-2B,128,bm25,0.06,0.1986,0.4377,300
nq,Gemma-2-2B,128,faiss,0.0533,0.2138,0.5002,300
nq,Gemma-2-2B,256,bm25,0.0467,0.21,0.5626,300
nq,Gemma-2-2B,256,faiss,0.0667,0.2258,0.3752,300
nq,Gemma-2-2B,512,bm25,0.0533,0.229,0.5002,300
nq,Gemma-2-2B,512,faiss,0.0567,0.2237,0.4689,300
nq,Qwen3-1.7B,none,no_rag,0.05,0.1372,0.0,300
nq,Qwen3-1.7B,128,bm25,0.07,0.1862,0.0,300
nq,Qwen3-1.7B,128,faiss,0.1067,0.2303,0.0,300
nq,Qwen3-1.7B,256,bm25,0.0767,0.1791,0.0,300
nq,Qwen3-1.7B,256,faiss,0.13,0.2542,0.0,300
nq,Qwen3-1.7B,512,bm25,0.1133,0.2303,0.0,300
nq,Qwen3-1.7B,512,faiss,0.1133,0.2261,0.0,300
triviaqa,SmolLM2-360M,none,no_rag,0.0233,0.1499,0.0,300
triviaqa,SmolLM2-360M,128,bm25,0.0133,0.1782,0.4278,300
triviaqa,SmolLM2-360M,128,faiss,0.0367,0.2117,0.0,300
triviaqa,SmolLM2-360M,256,bm25,0.0267,0.2018,0.0,300
triviaqa,SmolLM2-360M,256,faiss,0.0467,0.2313,0.0,300
triviaqa,SmolLM2-360M,512,bm25,0.0433,0.2178,0.0,300
triviaqa,SmolLM2-360M,512,faiss,0.0367,0.2134,0.0,300
triviaqa,Qwen3-0.6B,none,no_rag,0.0833,0.166,0.0,300
triviaqa,Qwen3-0.6B,128,bm25,0.2267,0.3007,0.0,300
triviaqa,Qwen3-0.6B,128,faiss,0.35,0.4472,0.0,300
triviaqa,Qwen3-0.6B,256,bm25,0.2767,0.3729,0.0,300
triviaqa,Qwen3-0.6B,256,faiss,0.36,0.4466,0.0,300
triviaqa,Qwen3-0.6B,512,bm25,0.3167,0.4154,0.0,300
triviaqa,Qwen3-0.6B,512,faiss,0.37,0.475,0.0,300
triviaqa,Gemma-2-2B,none,no_rag,0.2067,0.4077,0.0,300
triviaqa,Gemma-2-2B,128,bm25,0.15,0.3721,0.2743,300
triviaqa,Gemma-2-2B,128,faiss,0.1867,0.4419,0.0969,300
triviaqa,Gemma-2-2B,256,bm25,0.1933,0.4195,0.0647,300
triviaqa,Gemma-2-2B,256,faiss,0.1667,0.4352,0.1937,300
triviaqa,Gemma-2-2B,512,bm25,0.18,0.4251,0.1292,300
triviaqa,Gemma-2-2B,512,faiss,0.2,0.472,0.0324,300
triviaqa,Qwen3-1.7B,none,no_rag,0.1733,0.2735,0.0,300
triviaqa,Qwen3-1.7B,128,bm25,0.3167,0.4185,0.0,300
triviaqa,Qwen3-1.7B,128,faiss,0.4267,0.5257,0.0,300
triviaqa,Qwen3-1.7B,256,bm25,0.3633,0.4702,0.0,300
triviaqa,Qwen3-1.7B,256,faiss,0.46,0.5451,0.0,300
