dataset,model,chunk_size,retriever,em,n,ci_lo,ci_hi,ci_width
nq,SmolLM2-360M,none,no_rag,0.01,300,0.0034,0.029,0.0256
nq,SmolLM2-360M,128,bm25,0.01,300,0.0034,0.029,0.0256
nq,SmolLM2-360M,128,faiss,0.0233,300,0.0113,0.0473,0.036
nq,SmolLM2-360M,256,bm25,0.0067,300,0.0018,0.024,0.0222
nq,SmolLM2-360M,256,faiss,0.0167,300,0.0072,0.0385,0.0313
nq,SmolLM2-360M,512,bm25,0.01,300,0.0034,0.029,0.0256
nq,SmolLM2-360M,512,faiss,0.0033,300,0.0006,0.0186,0.018
nq,Qwen3-0.6B,none,no_rag,0.0267,300,0.0136,0.0518,0.0382
nq,Qwen3-0.6B,128,bm25,0.0567,300,0.0357,0.0889,0.0532
nq,Qwen3-0.6B,128,faiss,0.1167,300,0.0851,0.158,0.0729
nq,Qwen3-0.6B,256,bm25,0.0967,300,0.0682,0.1354,0.0672
nq,Qwen3-0.6B,256,faiss,0.1133,300,0.0822,0.1542,0.0719
nq,Qwen3-0.6B,512,bm25,0.1033,300,0.0737,0.1429,0.0692
nq,Qwen3-0.6B,512,faiss,0.1067,300,0.0766,0.1467,0.0701
nq,Gemma-2-2B,none,no_rag,0.1067,300,0.0766,0.1467,0.0701
nq,Gemma-2-2B,128,bm25,0.06,300,0.0383,0.0928,0.0546
nq,Gemma-2-2B,128,faiss,0.0533,300,0.0331,0.0848,0.0518
nq,Gemma-2-2B,256,bm25,0.0467,300,0.028,0.0768,0.0488
nq,Gemma-2-2B,256,faiss,0.0667,300,0.0436,0.1008,0.0572
nq,Gemma-2-2B,512,bm25,0.0533,300,0.0331,0.0848,0.0518
nq,Gemma-2-2B,512,faiss,0.0567,300,0.0357,0.0889,0.0532
nq,Qwen3-1.7B,none,no_rag,0.05,300,0.0305,0.0808,0.0503
nq,Qwen3-1.7B,128,bm25,0.07,300,0.0462,0.1046,0.0584
nq,Qwen3-1.7B,128,faiss,0.1067,300,0.0766,0.1467,0.0701
nq,Qwen3-1.7B,256,bm25,0.0767,300,0.0517,0.1124,0.0608
nq,Qwen3-1.7B,256,faiss,0.13,300,0.0966,0.1728,0.0762
nq,Qwen3-1.7B,512,bm25,0.1133,300,0.0822,0.1542,0.0719
nq,Qwen3-1.7B,512,faiss,0.1133,300,0.0822,0.1542,0.0719
triviaqa,SmolLM2-360M,none,no_rag,0.0233,300,0.0113,0.0473,0.036
triviaqa,SmolLM2-360M,128,bm25,0.0133,300,0.0052,0.0337,0.0286
triviaqa,SmolLM2-360M,128,faiss,0.0367,300,0.0206,0.0645,0.0439
triviaqa,SmolLM2-360M,256,bm25,0.0267,300,0.0136,0.0518,0.0382
triviaqa,SmolLM2-360M,256,faiss,0.0467,300,0.028,0.0768,0.0488
triviaqa,SmolLM2-360M,512,bm25,0.0433,300,0.0255,0.0727,0.0472
triviaqa,SmolLM2-360M,512,faiss,0.0367,300,0.0206,0.0645,0.0439
triviaqa,Qwen3-0.6B,none,no_rag,0.0833,300,0.0571,0.1201,0.063
triviaqa,Qwen3-0.6B,128,bm25,0.2267,300,0.1829,0.2774,0.0944
triviaqa,Qwen3-0.6B,128,faiss,0.35,300,0.2982,0.4056,0.1073
triviaqa,Qwen3-0.6B,256,bm25,0.2767,300,0.2291,0.3299,0.1008
triviaqa,Qwen3-0.6B,256,faiss,0.36,300,0.3078,0.4158,0.108
triviaqa,Qwen3-0.6B,512,bm25,0.3167,300,0.2667,0.3714,0.1047
triviaqa,Qwen3-0.6B,512,faiss,0.37,300,0.3173,0.426,0.1086
triviaqa,Gemma-2-2B,none,no_rag,0.2067,300,0.1647,0.2561,0.0914
triviaqa,Gemma-2-2B,128,bm25,0.15,300,0.114,0.1948,0.0808
triviaqa,Gemma-2-2B,128,faiss,0.1867,300,0.1467,0.2347,0.088
triviaqa,Gemma-2-2B,256,bm25,0.1933,300,0.1526,0.2417,0.0891
triviaqa,Gemma-2-2B,256,faiss,0.1667,300,0.1288,0.213,0.0842
triviaqa,Gemma-2-2B,512,bm25,0.18,300,0.1407,0.2274,0.0868
triviaqa,Gemma-2-2B,512,faiss,0.2,300,0.1587,0.2489,0.0903
triviaqa,Qwen3-1.7B,none,no_rag,0.1733,300,0.1347,0.2202,0.0855
